Dates;usdcop
15/03/2021;1,2472
16/03/2021;1,2448
17/03/2021;1,2405
18/03/2021;1,2487
19/03/2021;1,25
22/03/2021;1,2522
23/03/2021;1,2588
24/03/2021;1,2579
25/03/2021;1,2613
26/03/2021;1,2577
29/03/2021;1,2591
30/03/2021;1,2634
31/03/2021;1,2562
01/04/2021;1,2548
02/04/2021;1,2578
05/04/2021;1,2525
06/04/2021;1,2566
07/04/2021;1,2609
08/04/2021;1,2562
09/04/2021;1,253
12/04/2021;1,2563
13/04/2021;1,2535
14/04/2021;1,2521
15/04/2021;1,2543
16/04/2021;1,2508
19/04/2021;1,2535
20/04/2021;1,2609
21/04/2021;1,2497
22/04/2021;1,2507
23/04/2021;1,2476
26/04/2021;1,2398
27/04/2021;1,2399
28/04/2021;1,2314
29/04/2021;1,2283
30/04/2021;1,2287
03/05/2021;1,2279
04/05/2021;1,2309
05/05/2021;1,2267
06/05/2021;1,2149
07/05/2021;1,2133
10/05/2021;1,2102
11/05/2021;1,2102
12/05/2021;1,2134
13/05/2021;1,2162
14/05/2021;1,2104
17/05/2021;1,2068
18/05/2021;1,2066
19/05/2021;1,2133
20/05/2021;1,2061
21/05/2021;1,2066
24/05/2021;1,2044
25/05/2021;1,2067
26/05/2021;1,2123
27/05/2021;1,2066
28/05/2021;1,2076
31/05/2021;1,2064
01/06/2021;1,2071
02/06/2021;1,2035
03/06/2021;1,2107
04/06/2021;1,2084
07/06/2021;1,2082
08/06/2021;1,2111
09/06/2021;1,2111
10/06/2021;1,2096
11/06/2021;1,2158
14/06/2021;1,2144
15/06/2021;1,2184
16/06/2021;1,2277
17/06/2021;1,2358
18/06/2021;1,2465
21/06/2021;1,2363
22/06/2021;1,2306
23/06/2021;1,2306
24/06/2021;1,2324
25/06/2021;1,2292
28/06/2021;1,2337
29/06/2021;1,2401
30/06/2021;1,2398
01/07/2021;1,2437
02/07/2021;1,2322
05/07/2021;1,2342
06/07/2021;1,2461
07/07/2021;1,2481
08/07/2021;1,2534
09/07/2021;1,2447
12/07/2021;1,2453
13/07/2021;1,2513
14/07/2021;1,2509
15/07/2021;1,2595
16/07/2021;1,2613
19/07/2021;1,275
20/07/2021;1,2682
21/07/2021;1,2556
22/07/2021;1,2563
23/07/2021;1,2564
26/07/2021;1,2551
27/07/2021;1,2602
28/07/2021;1,2528
29/07/2021;1,2448
30/07/2021;1,2475
02/08/2021;1,251
03/08/2021;1,2539
04/08/2021;1,254
05/08/2021;1,2506
06/08/2021;1,2554
09/08/2021;1,2577
10/08/2021;1,252
11/08/2021;1,2504
12/08/2021;1,2526
13/08/2021;1,2515
16/08/2021;1,2574
17/08/2021;1,2629
18/08/2021;1,2658
19/08/2021;1,2828
20/08/2021;1,2821
23/08/2021;1,2654
24/08/2021;1,2589
25/08/2021;1,2591
26/08/2021;1,2687
27/08/2021;1,262
30/08/2021;1,2606
31/08/2021;1,2616
01/09/2021;1,262
02/09/2021;1,2553
03/09/2021;1,2524
06/09/2021;1,2534
07/09/2021;1,2647
08/09/2021;1,2691
09/09/2021;1,2664
10/09/2021;1,2692
13/09/2021;1,2648
14/09/2021;1,2694
15/09/2021;1,263
16/09/2021;1,2683
17/09/2021;1,2764
20/09/2021;1,2822
21/09/2021;1,282
22/09/2021;1,2772
23/09/2021;1,2655
24/09/2021;1,2652
27/09/2021;1,2628
28/09/2021;1,2687
29/09/2021;1,2757
30/09/2021;1,268
01/10/2021;1,2648
04/10/2021;1,2589
05/10/2021;1,2583
06/10/2021;1,259
07/10/2021;1,2551
08/10/2021;1,2472
11/10/2021;1,2483
12/10/2021;1,2468
13/10/2021;1,2443
14/10/2021;1,237
15/10/2021;1,2368
18/10/2021;1,2379
19/10/2021;1,2363
20/10/2021;1,2321
21/10/2021;1,2368
22/10/2021;1,2366
25/10/2021;1,2382
26/10/2021;1,239
27/10/2021;1,2359
28/10/2021;1,2346
29/10/2021;1,2388
01/11/2021;1,2369
02/11/2021;1,2411
03/11/2021;1,2391
04/11/2021;1,2456
05/11/2021;1,2457
08/11/2021;1,2442
09/11/2021;1,2438
10/11/2021;1,2491
11/11/2021;1,2579
12/11/2021;1,255
15/11/2021;1,2516
16/11/2021;1,2558
17/11/2021;1,261
18/11/2021;1,2602
19/11/2021;1,264
22/11/2021;1,27
23/11/2021;1,267
24/11/2021;1,2668
25/11/2021;1,2648
26/11/2021;1,2791
29/11/2021;1,2741
30/11/2021;1,2779
01/12/2021;1,2818
02/12/2021;1,281
03/12/2021;1,2843
06/12/2021;1,2756
07/12/2021;1,2639
08/12/2021;1,2654
09/12/2021;1,2713
10/12/2021;1,2722
13/12/2021;1,2807
14/12/2021;1,2862
15/12/2021;1,2834
16/12/2021;1,2775
17/12/2021;1,2889
20/12/2021;1,294
21/12/2021;1,2914
22/12/2021;1,2836
23/12/2021;1,281
24/12/2021;1,2815
27/12/2021;1,2789
28/12/2021;1,2822
29/12/2021;1,2791
30/12/2021;1,2741
31/12/2021;1,2637
03/01/2022;1,2745
04/01/2022;1,2708
05/01/2022;1,2756
06/01/2022;1,2729
07/01/2022;1,2643
10/01/2022;1,2679
11/01/2022;1,2575
12/01/2022;1,2509
13/01/2022;1,252
14/01/2022;1,2552
17/01/2022;1,2516
18/01/2022;1,2514
19/01/2022;1,2515
20/01/2022;1,2503
21/01/2022;1,2581
24/01/2022;1,2638
25/01/2022;1,2629
26/01/2022;1,267
27/01/2022;1,2742
28/01/2022;1,277
31/01/2022;1,2708
01/02/2022;1,2687
02/02/2022;1,2669
03/02/2022;1,2678
04/02/2022;1,2757
07/02/2022;1,2667
08/02/2022;1,2708
09/02/2022;1,267
10/02/2022;1,2719
11/02/2022;1,2737
14/02/2022;1,273
15/02/2022;1,2718
16/02/2022;1,2687
17/02/2022;1,2708
18/02/2022;1,2752
21/02/2022;1,2753
22/02/2022;1,277
23/02/2022;1,2734
24/02/2022;1,2816
25/02/2022;1,2713
28/02/2022;1,2675
01/03/2022;1,2743
02/03/2022;1,2631
03/03/2022;1,2681
04/03/2022;1,2731
07/03/2022;1,282
08/03/2022;1,2885
09/03/2022;1,2809
10/03/2022;1,2769
11/03/2022;1,2744
14/03/2022;1,2824
15/03/2022;1,2765
16/03/2022;1,2677
17/03/2022;1,2628
18/03/2022;1,2603
21/03/2022;1,2593
22/03/2022;1,257
23/03/2022;1,2562
24/03/2022;1,2526
25/03/2022;1,2477
28/03/2022;1,2518
29/03/2022;1,2497
30/03/2022;1,2481
31/03/2022;1,2505
01/04/2022;1,2522
04/04/2022;1,2485
05/04/2022;1,2487
06/04/2022;1,2544
07/04/2022;1,2591
08/04/2022;1,2572
11/04/2022;1,263
12/04/2022;1,2644
13/04/2022;1,2567
14/04/2022;1,2603
15/04/2022;1,261
18/04/2022;1,2614
19/04/2022;1,2618
20/04/2022;1,2499
21/04/2022;1,2581
22/04/2022;1,271
25/04/2022;1,2735
26/04/2022;1,2826
27/04/2022;1,2819
28/04/2022;1,2808
29/04/2022;1,2848
02/05/2022;1,288
03/05/2022;1,2841
04/05/2022;1,2747
05/05/2022;1,2834
06/05/2022;1,2875
09/05/2022;1,3011
10/05/2022;1,3027
11/05/2022;1,2992
12/05/2022;1,3046
13/05/2022;1,2929
16/05/2022;1,2846
17/05/2022;1,2811
18/05/2022;1,289
19/05/2022;1,2825
20/05/2022;1,284
23/05/2022;1,2767
24/05/2022;1,2819
25/05/2022;1,2816
26/05/2022;1,2773
27/05/2022;1,2724
30/05/2022;1,2655
31/05/2022;1,2647
01/06/2022;1,2657
02/06/2022;1,257
03/06/2022;1,2594
06/06/2022;1,258
07/06/2022;1,2532
08/06/2022;1,256
09/06/2022;1,2699
10/06/2022;1,2776
13/06/2022;1,2899
14/06/2022;1,295
15/06/2022;1,2891
16/06/2022;1,295
17/06/2022;1,303
20/06/2022;1,2981
21/06/2022;1,2922
22/06/2022;1,2946
23/06/2022;1,2996
24/06/2022;1,2891
27/06/2022;1,2877
28/06/2022;1,2875
29/06/2022;1,2893
30/06/2022;1,2873
01/07/2022;1,2899
04/07/2022;1,2861
05/07/2022;1,3033
06/07/2022;1,3042
07/07/2022;1,2968
08/07/2022;1,2947
11/07/2022;1,3007
12/07/2022;1,3022
13/07/2022;1,2974
14/07/2022;1,3118
15/07/2022;1,3032
18/07/2022;1,2977
19/07/2022;1,287
20/07/2022;1,2884
21/07/2022;1,2868
22/07/2022;1,2916
25/07/2022;1,2846
26/07/2022;1,2887
27/07/2022;1,2825
28/07/2022;1,2807
29/07/2022;1,2795
01/08/2022;1,2844
02/08/2022;1,2881
03/08/2022;1,2843
04/08/2022;1,2865
05/08/2022;1,2932
08/08/2022;1,2854
09/08/2022;1,2889
10/08/2022;1,2776
11/08/2022;1,2764
12/08/2022;1,2782
15/08/2022;1,2906
16/08/2022;1,2845
17/08/2022;1,2913
18/08/2022;1,2948
19/08/2022;1,2994
22/08/2022;1,3056
23/08/2022;1,2955
24/08/2022;1,2967
25/08/2022;1,2924
26/08/2022;1,3033
29/08/2022;1,3011
30/08/2022;1,3093
31/08/2022;1,313
01/09/2022;1,3155
02/09/2022;1,3134
05/09/2022;1,3142
06/09/2022;1,3153
07/09/2022;1,3121
08/09/2022;1,3092
09/09/2022;1,3031
12/09/2022;1,2988
13/09/2022;1,3168
14/09/2022;1,3165
15/09/2022;1,3227
16/09/2022;1,3264
19/09/2022;1,3251
20/09/2022;1,3365
21/09/2022;1,3463
22/09/2022;1,3487
23/09/2022;1,3592
26/09/2022;1,3735
27/09/2022;1,3724
28/09/2022;1,3608
29/09/2022;1,368
30/09/2022;1,3829
03/10/2022;1,3624
04/10/2022;1,3513
05/10/2022;1,3619
06/10/2022;1,3748
07/10/2022;1,3739
10/10/2022;1,3779
11/10/2022;1,3797
12/10/2022;1,3816
13/10/2022;1,3753
14/10/2022;1,3885
17/10/2022;1,3716
18/10/2022;1,3737
19/10/2022;1,3765
20/10/2022;1,3765
21/10/2022;1,364
24/10/2022;1,3705
25/10/2022;1,3608
26/10/2022;1,3553
27/10/2022;1,3565
28/10/2022;1,3596
31/10/2022;1,3624
01/11/2022;1,363
02/11/2022;1,3712
03/11/2022;1,3746
04/11/2022;1,3479
07/11/2022;1,3494
08/11/2022;1,3427
09/11/2022;1,3526
10/11/2022;1,3324
11/11/2022;1,3275
14/11/2022;1,3314
15/11/2022;1,328
16/11/2022;1,3329
17/11/2022;1,3328
18/11/2022;1,3374
21/11/2022;1,3448
22/11/2022;1,3374
23/11/2022;1,3354
24/11/2022;1,3337
25/11/2022;1,338
28/11/2022;1,3496
29/11/2022;1,3579
30/11/2022;1,3412
01/12/2022;1,3432
02/12/2022;1,3468
05/12/2022;1,3588
06/12/2022;1,3653
07/12/2022;1,3653
08/12/2022;1,3595
09/12/2022;1,3645
12/12/2022;1,3636
13/12/2022;1,3545
14/12/2022;1,3548
15/12/2022;1,3658
16/12/2022;1,3699
19/12/2022;1,3648
20/12/2022;1,3611
21/12/2022;1,3612
22/12/2022;1,3656
23/12/2022;1,3599
26/12/2022;1,3582
27/12/2022;1,3523
28/12/2022;1,3608
29/12/2022;1,3548
30/12/2022;1,3554
02/01/2023;1,3573
03/01/2023;1,3671
04/01/2023;1,3478
05/01/2023;1,357
06/01/2023;1,3444
09/01/2023;1,3389
10/01/2023;1,3426
11/01/2023;1,3425
12/01/2023;1,3367
13/01/2023;1,3396
16/01/2023;1,3408
17/01/2023;1,3389
18/01/2023;1,3493
19/01/2023;1,3466
20/01/2023;1,3381
23/01/2023;1,3368
24/01/2023;1,3369
25/01/2023;1,3392
26/01/2023;1,3321
27/01/2023;1,3311
30/01/2023;1,3387
31/01/2023;1,3306
01/02/2023;1,3291
02/02/2023;1,3316
03/02/2023;1,3397
06/02/2023;1,3446
07/02/2023;1,3399
08/02/2023;1,3447
09/02/2023;1,3454
10/02/2023;1,3344
13/02/2023;1,3332
14/02/2023;1,3337
15/02/2023;1,3394
16/02/2023;1,3458
17/02/2023;1,3473
20/02/2023;1,3453
21/02/2023;1,3538
22/02/2023;1,3552
23/02/2023;1,3549
24/02/2023;1,3611
27/02/2023;1,3575
28/02/2023;1,3647
01/03/2023;1,3594
02/03/2023;1,3597
03/03/2023;1,3598
06/03/2023;1,3613
07/03/2023;1,3754
08/03/2023;1,3805
09/03/2023;1,3828
10/03/2023;1,3832
13/03/2023;1,3731
14/03/2023;1,3686
15/03/2023;1,3768
16/03/2023;1,3721
17/03/2023;1,3731
20/03/2023;1,3664
21/03/2023;1,3713
22/03/2023;1,3731
23/03/2023;1,3715
24/03/2023;1,3744
27/03/2023;1,3661
28/03/2023;1,3601
29/03/2023;1,3559
30/03/2023;1,3523
31/03/2023;1,3516
03/04/2023;1,3437
04/04/2023;1,3445
05/04/2023;1,3458
06/04/2023;1,3493
07/04/2023;1,3512
10/04/2023;1,3509
11/04/2023;1,3467
12/04/2023;1,3442
13/04/2023;1,3337
14/04/2023;1,3374
17/04/2023;1,3394
18/04/2023;1,339
19/04/2023;1,346
20/04/2023;1,3477
21/04/2023;1,3537
24/04/2023;1,3541
25/04/2023;1,3627
26/04/2023;1,3636
27/04/2023;1,3592
28/04/2023;1,3552
01/05/2023;1,3544
02/05/2023;1,3626
03/05/2023;1,3615
04/05/2023;1,3539
05/05/2023;1,3375
08/05/2023;1,3374
09/05/2023;1,3384
10/05/2023;1,3372
11/05/2023;1,3491
12/05/2023;1,355
15/05/2023;1,3467
16/05/2023;1,3482
17/05/2023;1,3455
18/05/2023;1,3503
19/05/2023;1,3505
22/05/2023;1,3505
23/05/2023;1,3504
24/05/2023;1,3595
25/05/2023;1,3642
26/05/2023;1,3615
29/05/2023;1,3592
30/05/2023;1,3602
31/05/2023;1,3574
01/06/2023;1,3449
02/06/2023;1,3425
05/06/2023;1,3445
06/06/2023;1,3403
07/06/2023;1,337
08/06/2023;1,3357
09/06/2023;1,334
12/06/2023;1,3368
13/06/2023;1,3318
14/06/2023;1,3324
15/06/2023;1,3223
16/06/2023;1,32
19/06/2023;1,321
20/06/2023;1,3235
21/06/2023;1,3164
22/06/2023;1,3151
23/06/2023;1,3183
26/06/2023;1,3155
27/06/2023;1,3192
28/06/2023;1,3258
29/06/2023;1,3252
30/06/2023;1,3242
03/07/2023;1,325
04/07/2023;1,3223
